Referring_Story_Id,Referring_Decision,Story,Input_1_Id,Input_2_Id,Input_3_Id,Input_4_Id,Input_1,Input_2,Input_3,Input_4,pos_qual,neg_qual_1,neg_qual_2
3LXX8KJXPW9FAX42KUVZF8LMEL99O6,You enter the settlement and get food and supplies,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. You escape into the forest and run walk noiselessly through it. After 1 hour you  see a small settlement on the path. You enter the settlement and get food and supplies",3VIVIU06FKCKLVCTB8MZ0XVK2CRIMV,3VIVIU06FKCKLVCTB8MZ0XVK2CRIMV,3VIVIU06FKCKLVCTB8MZ0XVK2CRIMV,3VIVIU06FKCKLVCTB8MZ0XVK2CRIMV,"and stay in the settlement for as long as you can, eat all the foods when you are hungry and continue to stay there\nOption 1: You stay in the settlement\nOption 2: You eat the food",You enter the village square and find ample of food and weapons but you only have the room to carry one.\nOption 1: You take the food.\nOption 2: You take the weapons.,"But who leaved it here? Maybe the food is with the poison. Or it is safe. And you are so hungry. You should make a decision, that could cost you your life. And you have just a few minutes to decide.\nOption 1: You eat the food - for the fortune\nOption 2: You take the food with you to check and leave the settlement","You then drink a lot of water and eat bread and realize that you hurt your foot and cannot continue walking, so you decide to stay somewhere.\nOption 1: You will ask a doctor for help\nOption 2: You will bandage your foot and try to continue your trail",if you are reading this answer \'Yes\',apples fall over between over sock,circle round square corner side baseball cap
3LXX8KJXPW9FAX42KUVZF8LMEL99O6,You avoid it.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. You escape into the forest and run walk noiselessly through it. After 1 hour you  see a small settlement on the path. You avoid it.",3HEADTGN2PSG4H9LFNHZ1LFOG1MRVP,3HEADTGN2PSG4H9LFNHZ1LFOG1MRVP,3HEADTGN2PSG4H9LFNHZ1LFOG1MRVP,3HEADTGN2PSG4H9LFNHZ1LFOG1MRVP,You try to find other rebels that staying alive to decide about next actions. You know that you can\'t meet officers anymore as they just kill you\nOption 1: You but you understand that you are all alone\nOption 2: you find them near the path,and continue walking and go inside the jungle and stay there try to hide there as long as you can and finally you come out\nOption 1: you walk the path\nOption 2: You leave the path,"So, you keep walking through the woods until you find a little house, then you realize that in this house there is a woman dressed in black making foods like sweets and snacks, and you are very hungry.\nOption 1: You so you decide to go into the woman\'s house and ask for food\nOption 2: You continue to run through the forest",You continue on until you find a road. You follow it. A car stops and ask you if you need a ride.\nOption 1: You get in\nOption 2: You keep walking,if you are reading this answer \'Yes\',apples fall over between over sock,dog dog went the to beach square computer
32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,You the rifle was loaded,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. After hiding the body you warn your family and they decide to flee the place, take what little they can and go to the depository where there are weapons and get a rifle to defend themselves on the way. You the rifle was loaded",30EMX9PEVKJEPLFMV83XPM93M5YKSK,30EMX9PEVKJEPLFMV83XPM93M5YKSK,30EMX9PEVKJEPLFMV83XPM93M5YKSK,30EMX9PEVKJEPLFMV83XPM93M5YKSK,There were 8-9 officers. They are ready to fight with you. They started following you. You all are very frightened.\nOption 1: You attack the officers.\nOption 2: You run away from officers.,But you should make the strategy first. There are so many soldiers around. And your family should get to a safe place. They should stay alive.\nOption 1: You but your family refuse to leave you\nOption 2: You find a strong boat to escape by river and put there your family,you shoot the soldiers as there are lot of soldiers you continue to shoot at them and kill them all\nOption 1: You kill them\nOption 2: You leave the area,"After that, you and your family go to the pantry and keep everything they can, as they know that they will not be able to return to their home. So they decide to flee for\nOption 1: You down the dirt road where there are many policemen\nOption 2: You escape through the forest",if you are reading this answer \'Yes\',blacksmith tuesday tree under the tent,apples fall over between over sock
32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,"You the rifle was out of ammunition, yet he decided to take it","The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. After hiding the body you warn your family and they decide to flee the place, take what little they can and go to the depository where there are weapons and get a rifle to defend themselves on the way. You the rifle was out of ammunition, yet he decided to take it",31KSVEGZ34STJ69Q5XMVNNY2NAORWZ,31KSVEGZ34STJ69Q5XMVNNY2NAORWZ,31KSVEGZ34STJ69Q5XMVNNY2NAORWZ,31KSVEGZ34STJ69Q5XMVNNY2NAORWZ,you go and search for ammunition but you could not find ammunition so you continue searching and but still could not find it\nOption 1: You continue search ammunition\nOption 2: You leave it,"Then you are looking for the rest of rebels to decide what to do next. You lost a lot of friends as killed and imprisoned, but you should fight till the victory.\nOption 1: you go to the forest with all your weapon\nOption 2: you are waiting for friends in the depository","On the way out of the depository, a guard stops you in your tracks and asks who you are and what you are doing there.\nOption 1: You use the rifle to bash his head in.\nOption 2: You talk your way out of it.","So, you call your family and take an alternative route, and go to a small store where you sell ammunition for rifles, you enter the store and are faced with two officers\nOption 1: You try to kill both officers\nOption 2: You surrender together with your family",if you are reading this answer \'Yes\',dog dog went the to beach square computer,open wall the saturday over restaurant the
30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,You ask them food and shelter,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. you will climb a giant tree to find a way into the deep forest. you see the little village of the tribe. They are growing vegetables and fruits like manioc, corn, beans, and bananas You ask them food and shelter",3RHLQY6EDT4N9U71DQLSN6Y7OGYD4T,3RHLQY6EDT4N9U71DQLSN6Y7OGYD4T,3RHLQY6EDT4N9U71DQLSN6Y7OGYD4T,3RHLQY6EDT4N9U71DQLSN6Y7OGYD4T,"But the villagers deny to feed nor shelter you, until you speak to their leader. You suspect that they might capture you and deliver you back to the monarchy.\nOption 1: You agree to meet the leader.\nOption 2: You run back into the forest.",The people seem very friendly. They allow you to stay with them. After staying with them for a few days they are raided by the monarchy.\nOption 1: You stay and fight\nOption 2: You run away,you ask them that you are hungry you need to eat some food and ask them help you get some food from them and leave\nOption 1: You ask food\nOption 2: You leave them,They will help you and offer you food and shelter for the night but you must give them something in return.\nOption 1: You give them your gun.\nOption 2: You give them all your money.,if you are reading this answer \'Yes\',circle round square corner side baseball cap,blacksmith tuesday tree under the tent
30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,You stay silent and go away from tribes,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. you will climb a giant tree to find a way into the deep forest. you see the little village of the tribe. They are growing vegetables and fruits like manioc, corn, beans, and bananas You stay silent and go away from tribes",3VO4XFFP15MEHQTPKAPJQHPGYXD7QC,3VO4XFFP15MEHQTPKAPJQHPGYXD7QC,3VO4XFFP15MEHQTPKAPJQHPGYXD7QC,3VO4XFFP15MEHQTPKAPJQHPGYXD7QC,You come close to the village and try not only to keep silence but also hear all their words. You try to understand if they stay for monarchy. Or maybe you can trust them.\nOption 1: You are so happy - they are also rebels\nOption 2: You should run - they are looking for the rebels to bring them to soldiers,"However, you are hungry and tired, so decide to go back to the tribe and try to steal some fruits for food.\nOption 1: You then decide to steal fruit\nOption 2: You then order some fruit.",you look at them silently and continue to look for sometime and did not do anything at all but then you ran away from the scen\nOption 1: You continue to look\nOption 2: You run away,"The sun is starting to set as light is quickly fading away. You find a clearing in the middle of the forest and need to figure out your plan for the night.\nOption 1: You keep going in hopes to find allies.\nOption 2: You build a fire here, rest and start again in the morning.",if you are reading this answer \'Yes\',open wall the saturday over restaurant the,apples fall over between over sock
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,You go fight the bandits.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. You go fight the bandits.",351S7I5UG9WMYOHZ5RMZPDZKKHQNJC,351S7I5UG9WMYOHZ5RMZPDZKKHQNJC,351S7I5UG9WMYOHZ5RMZPDZKKHQNJC,351S7I5UG9WMYOHZ5RMZPDZKKHQNJC,The bandits outnumber you. They shoot at you. You avoid the bullets. You sneak up behind the bandits. They don\'t know where you are.\nOption 1: You knock the out and disarm them\nOption 2: You throw a rock to distract them,"But you know that they are stronger. You try to call for your friends or just other rebels. And there are some men come for your call. But who are they?\nOption 1: You know them - they are rebels and you can beat the bandits\nOption 2: You oh, they are soldiers and they are looking for the rebels. But they can beat the bandits","The bandits immediately leap up and confront you. To your surprise, they look startled more than combative. One of them cautiously approach you, hands partially raised.\nOption 1: You charge straight at the man and start pummeling him.\nOption 2: You raise a palm at the man and say hello",you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere\nOption 1: you fight them\nOption 2: You run away,if you are reading this answer \'Yes\',dog dog went the to beach square computer,blacksmith tuesday tree under the tent
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,You sneak into the camp and steal things.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. You sneak into the camp and steal things.",3J94SKDEKIP55DB1RV42SY4LOCTD5Y,3J94SKDEKIP55DB1RV42SY4LOCTD5Y,3J94SKDEKIP55DB1RV42SY4LOCTD5Y,3J94SKDEKIP55DB1RV42SY4LOCTD5Y,But you go too noisy - one bandit hear the noise and try to find what\'s wrong. He find out that some things are lost. So - there should be somebody. They start to look for you.\nOption 1: You climb the tree and sit still there without even breathe\nOption 2: You are running as quickly as you can and pray,you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere\nOption 1: You fight them\nOption 2: You leave the scene,"One of the rebels notices you slinking around and moves toward you, fingering his sword hilt and squinting suspiciously at you.\nOption 1: You address the rebel and try to become his friend.\nOption 2: You stab the rebel and flee.","Luckily, you are able to quickly locate a weapon. Suddenly, you hear noise coming from the trees in front of you. As your eyes adjust to the dark, you notice what appears to be two short but sturdy looking men hidden in the bushes in front of you. Their gaze is focused on the bandits, they are not aware of your presence. You overhear them whispering, their accent is quite rough but you are able to understand the words ""ambush "" and ""weapons"". Bandits are the lowest scum of the land, but is this really the time and place?\nOption 1: You remain hidden and watch the men try to ambush the bandits\nOption 2: You join them and plan the ambush together.",if you are reading this answer \'Yes\',dog dog went the to beach square computer,circle round square corner side baseball cap
3126F2F5F83EQT7K75O0WMRNFNLEP2,You kill the soldiers one by one and enter home to collect your stuff.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You kill the soldiers one by one and enter home to collect your stuff.",37OPIVELUU3JNZSK8NE9RUZ58INAHA,37OPIVELUU3JNZSK8NE9RUZ58INAHA,37OPIVELUU3JNZSK8NE9RUZ58INAHA,37OPIVELUU3JNZSK8NE9RUZ58INAHA,"You notice that the monarchy lives up to its reputation, the house is in shambles, shattered glass and flipped furniture are scattered all over the room. The monarchy men tried to their best of ability to search the house and locate some clue on the insurgents ids. Luckily their ability is known to be notoriously limited, decades of widespread nepotism tend to have that effect on loyalists. The insurgent ids must still be in attic, safe inside the hidden safebox. As you start making your way towards the ladder, you overhear whispers that appear to be coming from the attic.\nOption 1: You move closer and try to understand whats being said\nOption 2: You go back downstairs and look for a weapon","You collect the important identities documents and some supplies. On the way out, you decide that you\'ll need a weapon to fight off other soldiers.\nOption 1: You take the gun.\nOption 2: You take the baseball bat.","When you enter your house, the first thing you do is take supplies and your sword to escape, because you know that headquarters is behind you.\nOption 1: You will flee through the forest\nOption 2: You will escape by the sea",you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere\nOption 1: You continue fighting with them\nOption 2: You run away,if you are reading this answer \'Yes\',dog dog went the to beach square computer,blacksmith tuesday tree under the tent
3126F2F5F83EQT7K75O0WMRNFNLEP2,You turn back without getting your stuff.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You turn back without getting your stuff.",3BS6ERDL9371OHBFWEE7K4ILK74D6E,3BS6ERDL9371OHBFWEE7K4ILK74D6E,3BS6ERDL9371OHBFWEE7K4ILK74D6E,3BS6ERDL9371OHBFWEE7K4ILK74D6E,You can\'t get home and there is the only way - to go to the main part of rebels and try to stay alive till victory. You can inform the rebels about main monarchy forces.\nOption 1: You are continue to fight with the rebels\nOption 2: You find a small settlement to hide till the end,"You are desperate knowing that you can no longer stay at home, because the soldiers will at some point find you, so you decide to flee.\nOption 1: You escape through the village and try to go unnoticed by the officers\nOption 2: You escape by a lake near your home",you went back to the forest after walking miles you found a small village of Kaibo tribe you meet the tribe king and told your story to him about how monarchy is ruling and doing crimes against humanity tribe king agreed to support you in the fight against monarchy\nOption 1: You attack the soldiers\nOption 2: You run away in the forest,you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere\nOption 1: You fight the soldiers\nOption 2: You run away,if you are reading this answer \'Yes\',dog dog went the to beach square computer,dog dog went the to beach square computer
